Functions, Ethereum, Polygon, Celo, Avalanche, Hedera Hashgraph, Binance smart chain, Arbitrum, Optimism, Fantom, Tron, Conflux
registerFunction,13022.692719403902,11163.250688874721,6178.69983312289,7487.6216583887735,6832.0490889549255,6063.814847215016,3880.4886361559234,8306.43539447387,3384.954477794965,65401.36344138384,8782.807905642192
registerPlatform,12136.16151378552,7064.824852772555,6833.937672134241,7077.504169336954,5481.2967999935145,5984.015530415377,4222.161177786192,7692.127002898851,2779.5009388923645,66111.88889180422,9265.415633436043
storePassword,12762.517447415987,6836.539127755165,6515.576522179445,7807.787774995963,3719.560585943858,6087.543024925391,4063.781914023559,8535.506299857298,2398.680855500698,65387.848016607764,8621.609727803865
getPassword,820.5156307419142,594.7521028240521,528.5284111539522,379.8512639125188,3618.026855548223,332.907958428065,614.3877582152685,854.0839861035347,479.03081681728366,1388.1947412101745,766.2970834255219
freezeAccount,12448.86171101729,6477.219269529978,7096.561602946123,7463.262216603755,3748.728625138601,6299.90947766304,3822.372669633229,8668.3567805926,2726.775130430857,65595.71727482081,8690.024861065547
